alpha=0.05, K=5, t=3min
Loss: 2125.8650594949722	Valid acc: 48.83%	Test acc: 47.46%
Loss: 2126.315232515335	Valid acc: 48.90%	Test acc: 47.52%
Loss: 1814.0476659536362	Valid acc: 52.02%	Test acc: 50.51%
Loss: 1727.8636125326157	Valid acc: 53.42%	Test acc: 51.78%
Loss: 1671.8537378311157	Valid acc: 54.44%	Test acc: 52.84%
Loss: 1631.325520515442	Valid acc: 55.13%	Test acc: 53.49%
Loss: 1597.6165037155151	Valid acc: 55.83%	Test acc: 54.22%
Loss: 1571.2201545834541	Valid acc: 56.54%	Test acc: 54.88%
Loss: 1548.9170916080475	Valid acc: 56.55%	Test acc: 54.87%
Loss: 1531.1279783248901	Valid acc: 56.96%	Test acc: 55.28%
Loss: 1515.727736055851	Valid acc: 57.25%	Test acc: 55.56%
Loss: 1501.8080161809921	Valid acc: 57.59%	Test acc: 56.03%
Loss: 1490.1414266228676	Valid acc: 57.86%	Test acc: 56.10%
Loss: 1478.6976463794708	Valid acc: 57.96%	Test acc: 56.18%
Loss: 1468.4716629385948	Valid acc: 58.32%	Test acc: 56.56%
Loss: 1459.8833047747612	Valid acc: 58.00%	Test acc: 56.30%
Loss: 1451.7380034327507	Valid acc: 58.92%	Test acc: 57.20%
Loss: 1444.0978460907936	Valid acc: 58.29%	Test acc: 56.64%
Loss: 1437.2658556699753	Valid acc: 58.68%	Test acc: 56.91%
Loss: 1430.697230875492	Valid acc: 59.13%	Test acc: 57.22%
Loss: 1425.5518785119057	Valid acc: 58.81%	Test acc: 56.90%
Loss: 1418.7059380412102	Valid acc: 59.43%	Test acc: 57.63%
Loss: 1412.664782345295	Valid acc: 59.36%	Test acc: 57.40%
Loss: 1409.0404652357101	Valid acc: 59.43%	Test acc: 57.54%
Loss: 1403.1927958726883	Valid acc: 59.57%	Test acc: 57.63%
Loss: 1399.5028122663498	Valid acc: 59.77%	Test acc: 57.78%
Loss: 1394.7530305981636	Valid acc: 59.24%	Test acc: 57.43%
Loss: 1390.7426657676697	Valid acc: 59.65%	Test acc: 57.68%
Loss: 1387.4586862921715	Valid acc: 59.58%	Test acc: 57.68%
Loss: 1382.1664601564407	Valid acc: 59.64%	Test acc: 57.67%
Loss: 1378.7522558569908	Valid acc: 59.40%	Test acc: 57.55%
Loss: 1375.7478991150856	Valid acc: 59.88%	Test acc: 57.89%
Loss: 1373.9496774673462	Valid acc: 59.69%	Test acc: 57.88%
Loss: 1370.0176640152931	Valid acc: 59.94%	Test acc: 58.00%
